order_id,customer_id,product_id,store_id,order_date,quantity,quality_flag
ORD-00001,CUST-0827,PROD-053,STORE-04,2025-07-01,2,valid
ORD-00002,CUST-0100,PROD-085,STORE-07,2025-02-03,6,valid
ORD-00005,CUST-0063,PROD-052,STORE-12,2024-12-01,6,valid
ORD-00006,CUST-0820,PROD-014,STORE-04,2024-12-08,4,valid
ORD-00007,CUST-0195,PROD-069,STORE-08,2026-03-08,3,valid
ORD-00008,CUST-0433,PROD-024,STORE-05,2026-01-24,8,valid
ORD-00009,CUST-0256,PROD-010,STORE-08,2024-11-20,9,valid
ORD-00010,CUST-0101,PROD-007,STORE-11,2026-01-14,9,valid
ORD-00011,CUST-0857,PROD-002,STORE-02,2025-11-09,4,valid
ORD-00012,CUST-0171,PROD-053,STORE-08,2024-06-29,8,valid
ORD-00013,CUST-0219,PROD-052,STORE-15,2025-03-30,1,valid
ORD-00014,CUST-0169,PROD-049,STORE-01,2026-01-06,7,valid
ORD-00015,CUST-0272,PROD-059,STORE-05,2026-04-17,7,valid
ORD-00016,CUST-0714,PROD-094,STORE-13,2025-09-12,9,valid
ORD-00017,CUST-0678,PROD-092,STORE-08,2024-09-09,3,valid
ORD-00018,CUST-0195,PROD-038,STORE-04,2025-11-30,1,valid
ORD-00019,CUST-0594,PROD-095,STORE-09,2026-02-22,1,valid
ORD-00020,CUST-0766,PROD-041,STORE-01,2026-04-19,1,valid
ORD-00022,CUST-0162,PROD-008,STORE-09,2025-04-10,2,valid
ORD-00023,CUST-0872,PROD-024,STORE-02,2025-05-19,10,valid
ORD-00024,CUST-0070,PROD-087,STORE-14,2025-12-01,4,valid
ORD-00025,CUST-0414,PROD-016,STORE-15,2026-04-06,10,valid
ORD-00026,CUST-0253,PROD-075,STORE-10,2024-10-30,1,valid
ORD-00027,CUST-0635,PROD-011,STORE-07,2026-06-11,10,valid
ORD-00028,CUST-0579,PROD-067,STORE-06,2024-08-04,5,valid
ORD-00029,CUST-0210,PROD-086,STORE-12,2024-09-04,6,valid
ORD-00030,CUST-0245,PROD-034,STORE-07,2025-03-25,3,valid
ORD-00031,CUST-0688,PROD-083,STORE-05,2025-06-25,8,valid
ORD-00032,CUST-0324,PROD-097,STORE-15,2024-11-08,2,valid
ORD-00033,CUST-0010,PROD-059,STORE-10,2024-08-01,10,valid
ORD-00034,CUST-0103,PROD-010,STORE-09,2024-09-21,4,valid
ORD-00035,CUST-0519,PROD-034,STORE-03,2025-07-27,6,valid
ORD-00036,CUST-0903,PROD-009,STORE-15,2025-11-08,4,valid
