return_id,order_id,product_id,return_date,reason,refund_amount,status,quality_flag
RET-0002,ORD-02583,PROD-019,2026-01-07,defective,149.42,processed,valid
RET-0003,ORD-01663,PROD-022,2025-03-27,damaged,157.72,processed,valid
RET-0004,ORD-03028,PROD-032,2024-10-14,defective,170.77,processed,valid
RET-0005,ORD-04344,PROD-006,2026-04-20,defective,36.13,rejected,valid
RET-0006,ORD-02681,PROD-083,2025-12-27,defective,180.05,processed,valid
RET-0007,ORD-01766,PROD-094,2025-12-02,not as described,50.47,processed,valid
RET-0008,ORD-01124,PROD-010,2025-04-22,changed mind,40.46,pending,valid
RET-0009,ORD-04055,PROD-048,2024-12-23,changed mind,125.99,processed,valid
RET-0010,ORD-03762,PROD-011,2025-11-26,not as described,109.41,processed,valid
RET-0011,ORD-01536,PROD-078,2024-09-03,not as described,187.04,processed,valid
RET-0012,ORD-02945,PROD-048,2025-09-11,wrong item,35.96,processed,valid
RET-0013,ORD-02988,PROD-045,2025-10-30,defective,192.2,rejected,valid
RET-0014,ORD-04292,PROD-057,2025-01-16,damaged,195.33,processed,valid
RET-0015,ORD-04343,PROD-044,2024-11-19,changed mind,55.44,processed,valid
RET-0016,ORD-04425,PROD-052,2025-03-03,not as described,118.02,processed,valid
RET-0017,ORD-07942,PROD-034,2024-12-18,changed mind,100.76,processed,valid
RET-0018,ORD-04998,PROD-061,2025-03-13,damaged,164.6,pending,valid
RET-0019,ORD-02749,PROD-007,2026-01-09,damaged,177.79,rejected,valid
RET-0020,ORD-02303,PROD-004,2024-08-04,wrong item,140.48,processed,valid
RET-0021,ORD-03933,PROD-021,2025-06-19,changed mind,39.49,processed,valid
RET-0022,ORD-05957,PROD-075,2025-03-04,not as described,95.83,processed,valid
RET-0023,ORD-06132,PROD-076,2024-11-11,not as described,181.7,processed,valid
RET-0024,ORD-07597,PROD-019,2026-07-02,defective,163.04,processed,valid
RET-0025,ORD-00795,PROD-052,2024-10-28,damaged,67.03,processed,valid
RET-0026,ORD-03164,PROD-096,2026-02-27,defective,198.83,processed,valid
RET-0027,ORD-07941,PROD-065,2025-11-20,not as described,105.22,processed,valid
RET-0028,ORD-03182,PROD-018,2024-09-09,wrong item,111.42,processed,valid
RET-0030,ORD-03079,PROD-009,2025-04-19,wrong item,179.25,processed,valid
RET-0031,ORD-00812,PROD-070,2025-04-05,damaged,55.15,processed,valid
RET-0032,ORD-07260,PROD-041,2025-12-15,changed mind,43.2,processed,valid
RET-0033,ORD-06932,PROD-034,2026-07-11,not as described,188.59,processed,valid
RET-0034,ORD-01619,PROD-070,2026-05-14,damaged,110.84,processed,valid
RET-0035,ORD-06827,PROD-087,2025-08-29,defective,139.54,rejected,valid
RET-0036,ORD-01043,PROD-027,2026-07-04,damaged,64.59,processed,valid
RET-0037,ORD-05319,PROD-034,2025-12-22,not as described,168.43,processed,valid
RET-0038,ORD-04795,PROD-097,2025-09-04,damaged,118.61,processed,valid
RET-0040,ORD-01018,PROD-073,2025-08-10,not as described,138.52,processed,valid
RET-0041,ORD-02816,PROD-097,2024-10-22,changed mind,21.23,processed,valid
RET-0042,ORD-02717,PROD-092,2024-08-31,defective,117.48,processed,valid
RET-0043,ORD-05364,PROD-033,2025-11-01,not as described,137.78,processed,valid
RET-0045,ORD-03363,PROD-051,2025-04-02,defective,139.97,pending,valid
RET-0046,ORD-05166,PROD-069,2026-02-28,damaged,99.75,pending,valid
RET-0047,ORD-01076,PROD-074,2025-11-03,wrong item,12.68,processed,valid
RET-0048,ORD-06399,PROD-056,2025-08-13,defective,96.9,processed,valid
RET-0049,ORD-04982,PROD-026,2026-06-02,wrong item,48.86,rejected,valid
RET-0050,ORD-06229,PROD-073,2025-02-08,changed mind,147.74,processed,valid
RET-0051,ORD-02922,PROD-009,2024-10-12,wrong item,131.38,processed,valid
RET-0052,ORD-04020,PROD-093,2025-08-06,defective,68.87,processed,valid
RET-0053,ORD-04332,PROD-018,2026-02-09,not as described,185.41,processed,valid
RET-0055,ORD-01323,PROD-041,2026-01-07,changed mind,10.48,processed,valid
RET-0056,ORD-07732,PROD-067,2025-12-17,defective,33.98,processed,valid
RET-0057,ORD-02253,PROD-099,2026-01-18,damaged,36.88,pending,valid
RET-0058,ORD-06655,PROD-071,2026-04-27,wrong item,142.15,processed,valid
RET-0059,ORD-07245,PROD-021,2024-11-18,defective,7.33,processed,valid
RET-0060,ORD-00867,PROD-083,2024-07-18,damaged,76.07,processed,valid
RET-0062,ORD-02466,PROD-079,2026-01-16,changed mind,129.8,pending,valid
RET-0063,ORD-00466,PROD-022,2025-07-25,changed mind,121.03,processed,valid
RET-0064,ORD-02883,PROD-022,2026-07-03,changed mind,54.61,pending,valid
RET-0065,ORD-04962,PROD-081,2025-03-07,wrong item,79.8,processed,valid
RET-0066,ORD-07043,PROD-063,2025-10-20,changed mind,135.45,processed,valid
RET-0067,ORD-06241,PROD-021,2024-07-20,defective,83.87,processed,valid
RET-0068,ORD-05448,PROD-093,2026-04-09,wrong item,90.96,processed,valid
RET-0070,ORD-03916,PROD-090,2025-06-16,wrong item,94.42,pending,valid
RET-0071,ORD-03263,PROD-016,2025-11-04,wrong item,174.34,pending,valid
RET-0072,ORD-00264,PROD-076,2024-08-07,damaged,149.6,pending,valid
RET-0073,ORD-03807,PROD-087,2026-04-20,not as described,92.22,processed,valid
RET-0075,ORD-07840,PROD-011,2024-12-29,changed mind,71.98,pending,valid
RET-0076,ORD-01812,PROD-017,2025-12-04,damaged,63.73,processed,valid
RET-0077,ORD-01145,PROD-085,2025-03-09,changed mind,106.59,processed,valid
RET-0078,ORD-05828,PROD-006,2026-02-13,not as described,104.28,processed,valid
RET-0079,ORD-02150,PROD-020,2026-06-27,not as described,11.8,processed,valid
RET-0080,ORD-03930,PROD-074,2026-05-25,changed mind,103.15,processed,valid
RET-0081,ORD-06320,PROD-080,2025-09-21,defective,136.4,processed,valid
RET-0082,ORD-03291,PROD-076,2024-12-22,changed mind,10.23,processed,valid
RET-0083,ORD-00683,PROD-052,2024-07-23,damaged,45.77,processed,valid
RET-0084,ORD-02841,PROD-091,2025-03-08,wrong item,66.88,rejected,valid
RET-0085,ORD-01003,PROD-076,2025-05-18,not as described,26.31,rejected,valid
RET-0086,ORD-06756,PROD-064,2025-09-16,defective,182.65,processed,valid
RET-0087,ORD-05130,PROD-077,2025-01-15,defective,192.62,processed,valid
RET-0088,ORD-04291,PROD-054,2025-05-19,damaged,179.93,processed,valid
RET-0089,ORD-02174,PROD-095,2025-06-25,changed mind,121.31,pending,valid
RET-0090,ORD-00484,PROD-065,2025-02-08,wrong item,74.61,processed,valid
RET-0091,ORD-03814,PROD-095,2026-02-08,not as described,134.87,processed,valid
RET-0093,ORD-00519,PROD-097,2026-05-23,not as described,6.62,pending,valid
RET-0094,ORD-06989,PROD-048,2025-11-27,wrong item,33.82,pending,valid
RET-0095,ORD-01346,PROD-059,2026-04-06,wrong item,72.5,rejected,valid
RET-0096,ORD-00697,PROD-090,2025-03-26,wrong item,6.69,pending,valid
RET-0097,ORD-01010,PROD-045,2025-05-29,not as described,166.12,pending,valid
RET-0098,ORD-06318,PROD-062,2025-12-04,damaged,184.67,processed,valid
RET-0099,ORD-06596,PROD-083,2024-07-08,not as described,32.48,processed,valid
RET-0100,ORD-02771,PROD-061,2025-08-27,changed mind,96.74,processed,valid
RET-0101,ORD-01075,PROD-006,2025-02-04,not as described,59.61,processed,valid
RET-0102,ORD-01340,PROD-053,2025-05-18,changed mind,39.03,processed,valid
RET-0103,ORD-02987,PROD-034,2024-11-02,defective,98.95,processed,valid
RET-0104,ORD-07710,PROD-040,2026-05-24,damaged,197.4,pending,valid
RET-0105,ORD-06748,PROD-043,2025-02-13,changed mind,88.81,processed,valid
RET-0106,ORD-04422,PROD-028,2026-04-14,changed mind,109.39,pending,valid
RET-0107,ORD-03393,PROD-003,2026-06-27,wrong item,126.19,pending,valid
RET-0108,ORD-01484,PROD-070,2025-12-17,damaged,173.53,pending,valid
RET-0110,ORD-01935,PROD-085,2026-04-08,not as described,107.32,rejected,valid
RET-0111,ORD-01035,PROD-060,2026-06-28,changed mind,59.36,processed,valid
RET-0112,ORD-05485,PROD-020,2025-01-26,damaged,152.91,rejected,valid
RET-0113,ORD-02479,PROD-098,2025-06-16,changed mind,5.83,rejected,valid
RET-0114,ORD-00350,PROD-083,2026-02-13,wrong item,145.8,processed,valid
RET-0115,ORD-04394,PROD-001,2026-04-11,wrong item,86.11,pending,valid
RET-0116,ORD-04353,PROD-045,2026-05-31,changed mind,192.7,processed,valid
RET-0117,ORD-07558,PROD-083,2024-12-08,damaged,69.91,rejected,valid
RET-0118,ORD-01062,PROD-028,2025-09-25,not as described,45.71,processed,valid
RET-0119,ORD-00880,PROD-061,2024-12-18,not as described,122.55,processed,valid
RET-0121,ORD-02543,PROD-077,2025-05-26,changed mind,98.31,processed,valid
RET-0122,ORD-06424,PROD-025,2024-11-11,changed mind,84.39,rejected,valid
RET-0124,ORD-01851,PROD-021,2024-09-12,wrong item,141.74,processed,valid
RET-0125,ORD-05403,PROD-052,2025-10-26,defective,193.39,pending,valid
RET-0126,ORD-01678,PROD-045,2024-12-04,damaged,70.38,processed,valid
RET-0127,ORD-01836,PROD-062,2025-04-15,changed mind,193.72,processed,valid
RET-0128,ORD-07112,PROD-007,2024-09-08,wrong item,142.78,processed,valid
RET-0129,ORD-04953,PROD-033,2025-07-16,changed mind,52.05,processed,valid
RET-0130,ORD-04705,PROD-096,2026-05-26,damaged,192.24,processed,valid
RET-0131,ORD-05200,PROD-012,2025-04-14,damaged,18.14,processed,valid
RET-0133,ORD-04648,PROD-026,2025-04-18,changed mind,86.58,pending,valid
RET-0134,ORD-06508,PROD-048,2026-07-02,defective,30.36,processed,valid
RET-0135,ORD-03183,PROD-068,2024-08-27,defective,100.85,pending,valid
RET-0136,ORD-05338,PROD-085,2025-07-12,damaged,110.22,pending,valid
RET-0137,ORD-01946,PROD-062,2024-12-17,damaged,86.16,processed,valid
RET-0138,ORD-06125,PROD-029,2025-08-03,changed mind,72.61,pending,valid
RET-0139,ORD-03264,PROD-003,2026-06-01,not as described,83.26,processed,valid
RET-0140,ORD-06523,PROD-029,2026-02-03,changed mind,143.19,processed,valid
RET-0144,ORD-07021,PROD-005,2026-06-03,defective,182.71,processed,valid
RET-0145,ORD-01551,PROD-034,2024-09-05,changed mind,81.07,rejected,valid
RET-0146,ORD-02165,PROD-081,2025-10-11,not as described,153.43,processed,valid
RET-0147,ORD-00587,PROD-010,2025-01-31,wrong item,198.74,pending,valid
