order_id,customer_id,product_id,store_id,order_date,quantity
ORD-00001,CUST-0827,PROD-053,STORE-04,2025-07-01,2
ORD-00002,CUST-0100,PROD-085,STORE-07,2025-02-03,6
ORD-00003,CUST-0434,PROD-053,STORE-08,2026-05-19,1
ORD-00004,CUST-0690,PROD-084,STORE-11,2024-10-12,2
ORD-00005,CUST-0063,PROD-052,STORE-12,2024-12-01,6
ORD-00006,CUST-0820,PROD-014,STORE-04,2024-12-08,4
ORD-00007,CUST-0195,PROD-069,STORE-08,2026-03-08,3
ORD-00008,CUST-0433,PROD-024,STORE-05,2026-01-24,8
ORD-00009,CUST-0256,PROD-010,STORE-08,2024-11-20,9
ORD-00010,CUST-0101,PROD-007,STORE-11,2026-01-14,9
ORD-00011,CUST-0857,PROD-002,STORE-02,2025-11-09,4
ORD-00012,CUST-0171,PROD-053,STORE-08,2024-06-29,8
ORD-00013,CUST-0219,PROD-052,STORE-15,2025-03-30,1
ORD-00014,CUST-0169,PROD-049,STORE-01,2026-01-06,7
ORD-00015,CUST-0272,PROD-059,STORE-05,2026-04-17,7
ORD-00016,CUST-0714,PROD-094,STORE-13,2025-09-12,9
ORD-00017,CUST-0678,PROD-092,STORE-08,2024-09-09,3
ORD-00018,CUST-0195,PROD-038,STORE-04,2025-11-30,1
ORD-00019,CUST-0594,PROD-095,STORE-09,2026-02-22,1
ORD-00020,CUST-0766,PROD-041,STORE-01,2026-04-19,1
ORD-00021,CUST-0599,PROD-062,STORE-09,2024-10-14,9
ORD-00022,CUST-0162,PROD-008,STORE-09,2025-04-10,2
ORD-00023,CUST-0872,PROD-024,STORE-02,2025-05-19,10
ORD-00024,CUST-0070,PROD-087,STORE-14,2025-12-01,4
ORD-00025,CUST-0414,PROD-016,STORE-15,2026-04-06,10
ORD-00026,CUST-0253,PROD-075,STORE-10,2024-10-30,1
ORD-00027,CUST-0635,PROD-011,STORE-07,2026-06-11,10
ORD-00028,CUST-0579,PROD-067,STORE-06,2024-08-04,5
ORD-00029,CUST-0210,PROD-086,STORE-12,2024-09-04,6
ORD-00030,CUST-0245,PROD-034,STORE-07,2025-03-25,3
ORD-00031,CUST-0688,PROD-083,STORE-05,2025-06-25,8
ORD-00032,CUST-0324,PROD-097,STORE-15,2024-11-08,2
ORD-00033,CUST-0010,PROD-059,STORE-10,2024-08-01,10
ORD-00034,CUST-0103,PROD-010,STORE-09,2024-09-21,4
ORD-00035,CUST-0519,PROD-034,STORE-03,2025-07-27,6
ORD-00036,CUST-0903,PROD-009,STORE-15,2025-11-08,4
ORD-00037,CUST-0379,PROD-037,STORE-03,2025-03-11,8
ORD-00038,CUST-0854,PROD-070,STORE-12,2025-09-25,5
ORD-00039,CUST-0627,PROD-084,STORE-09,2025-05-24,1
ORD-00040,CUST-0684,PROD-071,STORE-05,2024-10-15,2
ORD-00041,CUST-GHOST-999,PROD-018,STORE-05,2025-10-21,2
ORD-00042,CUST-0912,PROD-014,STORE-12,2026-01-04,9
ORD-00043,CUST-0160,PROD-035,STORE-05,2025-05-01,10
ORD-00044,CUST-0216,PROD-092,STORE-06,2024-12-29,4
ORD-00045,CUST-0704,PROD-082,STORE-14,2024-07-18,5
ORD-00046,CUST-0518,PROD-063,STORE-05,2024-09-22,1
ORD-00047,CUST-0095,PROD-082,STORE-07,2024-12-26,5
ORD-00048,CUST-0046,PROD-001,STORE-06,2025-04-26,3
ORD-00049,CUST-0653,PROD-034,STORE-03,2025-07-06,8
ORD-00050,CUST-0565,PROD-091,STORE-07,2025-02-12,9
ORD-00051,CUST-0010,PROD-015,STORE-02,2025-12-08,3
ORD-00052,CUST-0559,PROD-005,STORE-14,2025-09-28,6
ORD-00053,CUST-0597,PROD-071,STORE-03,2024-11-02,7
ORD-00054,CUST-0131,PROD-006,STORE-05,2025-11-11,6
ORD-00055,CUST-0921,PROD-006,STORE-15,2026-01-21,6
ORD-00056,CUST-0216,PROD-088,STORE-04,2025-04-09,2
ORD-00057,CUST-0363,PROD-100,STORE-09,2026-02-14,7
ORD-00058,CUST-0998,PROD-080,STORE-12,2025-12-11,3
